ID;Field;Value
94;CompanyName;L&T Thales Technology Services
94;Location;NULL
94;Sector; Inconnu
94;Website;NULL
94;Foundation;NULL
95;CompanyName;Lacoste
95;Location;NULL
95;Sector; Magasins de chaussures, de vêtements et grands magasins
95;Website;NULL
95;Foundation;NULL
96;CompanyName;CALIDA Group
96;Location;NULL
96;Sector; Inconnu
96;Website;NULL
96;Foundation;NULL
97;CompanyName;LVMH
97;Location;NULL
97;Sector; Autres magasins de détail
97;Website;NULL
97;Foundation;NULL
98;CompanyName;Capgemini Invent
98;Location;NULL
98;Sector; Conseils
98;Website;NULL
98;Foundation;NULL
99;CompanyName;alptis assurances
99;Location;NULL
99;Sector; Inconnu
99;Website;NULL
99;Foundation;NULL
100;CompanyName;Gfi Informatique
100;Location;NULL
100;Sector; Services informatiques
100;Website;NULL
100;Foundation;NULL
101;CompanyName;Crédit Agricole
101;Location;NULL
101;Sector; Inconnu
101;Website;NULL
101;Foundation;NULL
102;CompanyName;Altran Group
102;Location;NULL
102;Sector; Services informatiques
102;Website;NULL
102;Foundation;NULL
103;CompanyName;NVIDIA
103;Location;NULL
103;Sector; Matériel et logiciels informatiques
103;Website;NULL
103;Foundation;NULL
104;CompanyName;Groupe NICOLLIN - Groupe VEOLIA
104;Location;NULL
104;Sector; Inconnu
104;Website;NULL
104;Foundation;NULL
105;CompanyName;Groupe Crédit Agricole
105;Location;NULL
105;Sector; Investissements bancaires et gestion d'actifs
105;Website;NULL
105;Foundation;NULL
106;CompanyName;Sanofi Pasteur
106;Location;NULL
106;Sector; Inconnu
106;Website;NULL
106;Foundation;NULL
107;CompanyName;Astek
107;Location;NULL
107;Sector; Services informatiques
107;Website;NULL
107;Foundation;NULL
108;CompanyName;Groupe Creative
108;Location;NULL
108;Sector; Services d'architecture et d'ingénierie
108;Website;NULL
108;Foundation;NULL
109;CompanyName;Open Minds Open Hearts Day Care
109;Location;NULL
109;Sector; Inconnu
109;Website;NULL
109;Foundation;NULL
110;CompanyName;SOTRAVO Filiale SOLOCAL GROUP
110;Location;NULL
110;Sector; Inconnu
110;Website;NULL
110;Foundation;NULL
111;CompanyName;SKF
111;Location;NULL
111;Sector; Fabrication industrielle
111;Website;NULL
111;Foundation;NULL
112;CompanyName;Volvo Information Technology
112;Location;NULL
112;Sector; Services informatiques
112;Website;NULL
112;Foundation;NULL
113;CompanyName;Paris Inn Group
113;Location;NULL
113;Sector; Inconnu
113;Website;NULL
113;Foundation;NULL
114;CompanyName;Veolia
114;Location;NULL
114;Sector; Services publics de distribution
114;Website;NULL
114;Foundation;NULL
115;CompanyName;ITS Overlap
115;Location;NULL
115;Sector; Production animale
115;Website;NULL
115;Foundation;NULL
116;CompanyName;GFI
116;Location;NULL
116;Sector; Jeux vidéo
116;Website;NULL
116;Foundation;NULL
117;CompanyName;CELINE
117;Location;NULL
117;Sector; Magasins de chaussures, de vêtements et grands magasins
117;Website;NULL
117;Foundation;NULL
118;CompanyName;Groupe Crédit Agricole du Maroc
118;Location;NULL
118;Sector; Banques et organismes de crédit
118;Website;NULL
118;Foundation;NULL
119;CompanyName;Multimedia France Productions
119;Location;NULL
119;Sector; Inconnu
119;Website;NULL
119;Foundation;NULL
120;CompanyName;GFI Group
120;Location;NULL
120;Sector; Services de courtage
120;Website;NULL
120;Foundation;NULL
121;CompanyName;CITECH
121;Location;NULL
121;Sector; Services informatiques
121;Website;NULL
121;Foundation;NULL
122;CompanyName;LVMH
122;Location;NULL
122;Sector; Autres magasins de détail
122;Website;NULL
122;Foundation;NULL
123;CompanyName;Morgan Philips Group
123;Location;NULL
123;Sector; Inconnu
123;Website;NULL
123;Foundation;NULL
124;CompanyName;ITS
124;Location;NULL
124;Sector; Biotechnologies et pharmaceutique
124;Website;NULL
124;Foundation;NULL
125;CompanyName;CRIM (Computer Research Institute of Montreal)
125;Location;NULL
125;Sector; Recherche et développement
125;Website;NULL
125;Foundation;NULL
126;CompanyName;ALTRAD Group
126;Location;NULL
